region_id,year,support_category,budget_group,committed_supports,payments
R001,2020,Assistance with Daily Life,Core,37683100.63,34741293.06
R001,2020,Social & Community Participation,Core,45261504.79,40754209.46
R001,2020,Consumables,Core,10938939.1,10621485.03
R001,2020,Transport,Core,39040051.38,35090388.62
R001,2020,Support Coordination,Capacity Building,38614044.45,32476704.29
R001,2020,Improved Daily Living,Capacity Building,36208388.34,32488458.62
R001,2020,Finding & Keeping a Job,Capacity Building,59633357.45,49501466.69
R001,2020,Improved Health & Wellbeing,Capacity Building,79027853.43,76905856.65
R001,2020,Assistive Technology,Capital,35514907.93,30229004.91
R001,2020,Home Modifications,Capital,8070102.29,6121442.9
R001,2021,Assistance with Daily Life,Core,57109108.82,52244955.16
R001,2021,Social & Community Participation,Core,53367931.52,50971650.88
R001,2021,Consumables,Core,11128300.58,10201776.01
R001,2021,Transport,Core,43241470.12,39005231.94
R001,2021,Support Coordination,Capacity Building,46089810.13,40220291.09
R001,2021,Improved Daily Living,Capacity Building,30423135.49,28616725.61
R001,2021,Finding & Keeping a Job,Capacity Building,57954417.7,45890237.0
R001,2021,Improved Health & Wellbeing,Capacity Building,73774700.39,67577605.85
R001,2021,Assistive Technology,Capital,38916539.98,33231668.94
R001,2021,Home Modifications,Capital,6601613.98,4961820.32
R001,2022,Assistance with Daily Life,Core,72673232.55,68036321.54
R001,2022,Social & Community Participation,Core,54046872.13,51864817.05
R001,2022,Consumables,Core,12553159.31,11841693.47
R001,2022,Transport,Core,48695203.53,44715008.27
R001,2022,Support Coordination,Capacity Building,69129005.65,58936727.72
R001,2022,Improved Daily Living,Capacity Building,34307613.34,33599856.79
R001,2022,Finding & Keeping a Job,Capacity Building,57305070.98,45211582.09
R001,2022,Improved Health & Wellbeing,Capacity Building,84325187.86,80564440.82
R001,2022,Assistive Technology,Capital,49259979.22,38868314.3
R001,2022,Home Modifications,Capital,10317557.41,7718016.21
R001,2023,Assistance with Daily Life,Core,73124968.71,71346548.91
R001,2023,Social & Community Participation,Core,57605761.39,56453646.16
R001,2023,Consumables,Core,12670274.15,11622498.13
R001,2023,Transport,Core,51108878.06,49028722.84
R001,2023,Support Coordination,Capacity Building,54056441.71,46966022.16
R001,2023,Improved Daily Living,Capacity Building,51089165.33,50067382.03
R001,2023,Finding & Keeping a Job,Capacity Building,80937254.91,66451149.83
R001,2023,Improved Health & Wellbeing,Capacity Building,125224299.29,120926406.58
R001,2023,Assistive Technology,Capital,38704013.93,33140715.73
R001,2023,Home Modifications,Capital,9841004.97,7526824.22
R001,2024,Assistance with Daily Life,Core,61929605.64,57147072.8
R001,2024,Social & Community Participation,Core,83245967.77,81581048.42
R001,2024,Consumables,Core,12385329.84,12137623.24
R001,2024,Transport,Core,59184286.62,58000600.89
R001,2024,Support Coordination,Capacity Building,70116823.14,60805120.67
R001,2024,Improved Daily Living,Capacity Building,40320695.74,37963953.54
R001,2024,Finding & Keeping a Job,Capacity Building,70087112.16,55056349.67
R001,2024,Improved Health & Wellbeing,Capacity Building,122207287.23,115289527.94
R001,2024,Assistive Technology,Capital,48252916.58,43162034.61
R001,2024,Home Modifications,Capital,11511370.71,8662850.86
R002,2020,Assistance with Daily Life,Core,87548335.92,79891071.35
R002,2020,Social & Community Participation,Core,73964482.1,67421842.6
R002,2020,Consumables,Core,17278110.61,16094951.29
